Age,Workclass,Fnlwgt,EducationNum,MaritalStatus,Occupation,Relationship,Race,Sex,Capital_gain,Capital_loss,HoursPerWeek,NativeCountry
28,Local-gov,146949,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States
29,Self-emp-not-inc,142519,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,United-States
54,,410114,9,Married-civ-spouse,,Husband,White,1,0,0,40,United-States
51,Local-gov,96190,10,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,United-States
40,Self-emp-not-inc,33310,15,Divorced,Other-service,Not-in-family,White,0,0,2339,35,United-States
18,,97318,9,Never-married,,Own-child,White,0,0,0,35,United-States
29,Local-gov,180916,10,Separated,Adm-clerical,Unmarried,White,0,0,0,38,United-States
35,,35854,10,Never-married,,Own-child,White,0,0,0,40,United-States
50,Private,74879,9,Married-spouse-absent,Handlers-cleaners,Unmarried,White,0,0,0,40,United-States
26,,321629,9,Never-married,,Unmarried,White,0,0,0,16,United-States
27,Private,89598,10,Never-married,Adm-clerical,Unmarried,White,0,0,0,60,United-States
46,Self-emp-not-inc,176319,9,Married-civ-spouse,Sales,Own-child,White,0,7298,0,40,United-States
51,Self-emp-inc,166386,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,0,0,0,35,Taiwan
35,Self-emp-not-inc,241469,5,Married-civ-spouse,Craft-repair,Husband,White,1,2635,0,30,United-States
24,Private,424034,9,Never-married,Exec-managerial,Unmarried,White,1,0,0,40,United-States
44,Private,242861,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
29,Private,144592,13,Never-married,Sales,Own-child,White,1,0,0,40,United-States
17,Private,286960,7,Never-married,Prof-specialty,Own-child,White,1,0,0,40,United-States
30,Private,242460,9,Separated,Craft-repair,Not-in-family,White,1,0,0,50,United-States
23,Private,140915,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,1,0,0,25,Philippines
41,Self-emp-inc,32016,9,Married-civ-spouse,Sales,Husband,White,1,0,0,62,United-States
32,Private,206541,11,Married-civ-spouse,Tech-support,Husband,White,1,0,0,45,United-States
60,Private,166330,9,Married-civ-spouse,Other-service,Wife,White,0,99999,0,40,United-States
47,Federal-gov,329205,13,Divorced,Prof-specialty,Unmarried,White,1,0,0,40,United-States
23,Private,210443,13,Never-married,Prof-specialty,Own-child,White,0,0,0,40,United-States
32,Private,290964,13,Never-married,Sales,Not-in-family,White,0,0,1590,40,United-States
39,Private,173175,13,Married-civ-spouse,Exec-managerial,Husband,White,1,15024,0,50,United-States
28,Private,282389,9,Never-married,Transport-moving,Not-in-family,White,1,0,0,60,United-States
35,Private,401930,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,1887,42,United-States
28,Federal-gov,56651,13,Never-married,Prof-specialty,Own-child,Black,0,0,0,40,United-States
67,Self-emp-not-inc,107138,10,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States
18,Private,98044,7,Never-married,Prof-specialty,Own-child,White,0,0,0,40,United-States
47,Private,161950,13,Divorced,Other-service,Not-in-family,White,0,0,0,25,Germany
36,Private,348960,9,Never-married,Tech-support,Not-in-family,White,1,0,0,50,United-States
34,State-gov,253121,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
37,Self-emp-not-inc,181553,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,50,United-States
54,Private,447555,6,Married-civ-spouse,Transport-moving,Husband,Black,1,0,0,40,United-States
52,Private,194259,9,Divorced,Sales,Not-in-family,White,0,0,0,40,Germany
52,Private,200853,14,Divorced,Prof-specialty,Not-in-family,White,0,6849,0,60,United-States
47,Private,214702,9,Divorced,Other-service,Unmarried,White,0,0,0,37,Puerto-Rico
32,Private,373263,9,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,40,United-States
34,Private,325658,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
57,Self-emp-inc,33725,13,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,United-States
34,Local-gov,194325,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,45,United-States
36,Private,188563,10,Married-civ-spouse,Sales,Husband,White,1,5178,0,50,United-States
40,Private,100584,6,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,1,0,0,40,United-States
32,Private,143604,9,Divorced,Other-service,Not-in-family,Black,0,0,0,16,United-States
24,State-gov,61737,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,United-States
33,Private,245659,10,Separated,Other-service,Unmarried,White,0,0,0,38,El-Salvador
39,Local-gov,327164,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,45,United-States
29,Private,178778,10,Never-married,Other-service,Not-in-family,White,1,0,0,40,United-States
24,Private,205865,9,Never-married,Sales,Unmarried,White,1,0,0,45,United-States
30,Private,175856,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,38,United-States
45,,215943,9,Married-civ-spouse,,Husband,White,1,0,0,40,United-States
49,Private,204057,12,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,United-States
18,Private,252993,8,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,Columbia
43,Private,184099,12,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
34,Local-gov,51543,10,Never-married,Other-service,Not-in-family,White,1,0,0,48,United-States
35,Private,75855,14,Married-civ-spouse,Prof-specialty,Husband,Black,1,7298,0,40,
52,State-gov,135388,9,Married-civ-spouse,Craft-repair,Husband,White,1,5013,0,40,United-States
48,Private,246891,10,Widowed,Sales,Unmarried,White,1,0,0,50,United-States
50,Self-emp-not-inc,198581,15,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,United-States
63,Private,188976,13,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States
53,Private,121441,10,Married-civ-spouse,Sales,Husband,White,1,0,0,55,United-States
39,Private,82540,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,60,United-States
51,Self-emp-inc,231230,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,25,United-States
31,Private,137814,10,Divorced,Sales,Own-child,White,0,0,0,30,United-States
33,Private,275369,4,Separated,Handlers-cleaners,Not-in-family,Black,1,0,0,35,Haiti
90,,166343,2,Widowed,,Not-in-family,Black,0,0,0,40,United-States
21,State-gov,38251,10,Never-married,Tech-support,Own-child,White,0,0,0,20,United-States
40,Private,119225,11,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
58,Private,142158,13,Divorced,Exec-managerial,Unmarried,White,0,0,0,35,United-States
36,State-gov,147258,10,Divorced,Transport-moving,Not-in-family,White,1,0,0,60,United-States
41,Private,37869,9,Married-civ-spouse,Sales,Husband,White,1,0,1902,40,United-States
50,Private,485710,16,Divorced,Prof-specialty,Not-in-family,White,0,0,0,50,United-States
26,Local-gov,192213,14,Never-married,Prof-specialty,Not-in-family,White,0,0,0,40,Canada
17,Private,216086,7,Never-married,Other-service,Own-child,White,0,0,0,30,United-States
66,Private,174788,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,20,United-States
26,Private,68895,9,Never-married,Adm-clerical,Not-in-family,White,1,0,0,50,Mexico
36,Private,348022,6,Married-civ-spouse,Other-service,Wife,White,0,0,0,24,United-States
50,Self-emp-not-inc,240612,13,Divorced,Prof-specialty,Not-in-family,White,0,0,0,60,United-States
23,Private,419554,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,54,United-States
28,Private,159001,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,30,United-States
37,Private,253420,9,Separated,Other-service,Unmarried,Black,0,0,0,25,United-States
44,Private,373050,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
32,Private,105938,9,Divorced,Machine-op-inspct,Own-child,Black,0,0,0,40,United-States
73,Self-emp-not-inc,143833,8,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,18,United-States
54,,95329,10,Divorced,,Own-child,White,1,0,0,50,United-States
22,,137876,10,Never-married,,Own-child,White,1,0,0,40,United-States
20,Private,104164,9,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,United-States
28,Self-emp-not-inc,183523,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,Hungary
29,Private,205903,9,Never-married,Other-service,Own-child,White,1,0,0,40,United-States
45,Private,191858,9,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,45,United-States
29,Private,110134,10,Divorced,Machine-op-inspct,Not-in-family,White,1,0,0,40,United-States
48,Self-emp-not-inc,197702,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
56,Private,149686,5,Widowed,Machine-op-inspct,Unmarried,White,0,0,0,40,United-States
39,Private,150480,15,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,55,United-States
35,Private,82552,12,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,United-States
55,Self-emp-not-inc,147098,5,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,United-States
33,Private,162572,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,55,United-States
32,Private,45796,10,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,60,United-States
47,Self-emp-not-inc,121124,13,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States
30,Private,31985,10,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,United-States
20,Private,24896,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,20,United-States
41,Self-emp-not-inc,38876,11,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,60,United-States
75,Self-emp-inc,164570,7,Never-married,Exec-managerial,Not-in-family,White,1,0,0,50,United-States
41,Self-emp-not-inc,438696,14,Divorced,Sales,Unmarried,White,1,0,0,5,United-States
18,Private,131033,7,Never-married,Other-service,Other-relative,Black,1,0,0,15,United-States
30,Private,182771,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,1,0,0,15,China
39,Private,191502,11,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
41,Private,111483,9,Never-married,Adm-clerical,Own-child,White,1,0,0,40,United-States
25,Local-gov,77698,10,Never-married,Adm-clerical,Unmarried,Black,0,0,0,40,United-States
40,Self-emp-not-inc,27242,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,84,United-States
38,Private,171150,12,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
54,Self-emp-not-inc,172898,15,Married-civ-spouse,Prof-specialty,Husband,White,1,5178,0,50,United-States
62,Private,370881,12,Widowed,Other-service,Not-in-family,White,0,0,0,7,United-States
26,Federal-gov,352768,9,Divorced,Adm-clerical,Own-child,White,0,0,0,40,United-States
21,Private,305874,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,54,United-States
42,Private,227065,10,Married-civ-spouse,Prof-specialty,Husband,White,1,15024,0,32,United-States
50,Private,195690,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,45,United-States
50,Private,257126,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
24,Private,100669,10,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,1,0,0,30,United-States
38,Private,143538,9,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,40,United-States
27,Private,176683,11,Married-civ-spouse,Other-service,Husband,White,1,0,0,60,United-States
30,Private,103642,7,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
32,Private,430175,9,Divorced,Craft-repair,Other-relative,Black,0,0,0,50,United-States
23,Private,376416,13,Never-married,Adm-clerical,Not-in-family,White,1,0,0,40,United-States
47,Private,201699,12,Married-civ-spouse,Sales,Husband,White,1,5178,0,50,United-States
28,Private,29444,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,1,0,0,40,United-States
26,Private,195734,9,Never-married,Adm-clerical,Own-child,White,0,2354,0,40,United-States
29,Private,253856,13,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,20,United-States
41,Private,138975,13,Married-civ-spouse,Exec-managerial,Husband,White,1,7688,0,45,United-States
20,Private,203240,12,Never-married,Adm-clerical,Not-in-family,White,0,0,0,30,United-States
68,Private,214521,15,Widowed,Prof-specialty,Unmarried,White,0,0,0,16,United-States
29,Private,152951,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
43,State-gov,129298,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
25,Private,166971,9,Married-civ-spouse,Sales,Husband,White,1,0,0,52,United-States
35,Private,276153,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,0,4650,0,40,United-States
51,Self-emp-inc,260938,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States
42,Private,251795,10,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,50,United-States
43,Private,151089,10,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,50,United-States
36,Private,414683,13,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,40,United-States
40,Local-gov,261497,9,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,35,United-States
40,Private,67852,9,Divorced,Transport-moving,Not-in-family,White,1,0,0,35,United-States
33,Private,356823,13,Never-married,Prof-specialty,Not-in-family,White,0,10520,0,45,United-States
30,Private,541343,6,Married-civ-spouse,Other-service,Husband,Black,1,0,0,40,United-States
30,Self-emp-inc,117570,9,Divorced,Other-service,Not-in-family,White,0,0,0,60,United-States
52,Local-gov,35092,16,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
56,Private,92444,10,Married-civ-spouse,Exec-managerial,Husband,Black,1,0,0,50,United-States
24,Private,108495,10,Never-married,Adm-clerical,Own-child,White,1,0,0,40,India
30,Self-emp-not-inc,172748,4,Never-married,Craft-repair,Own-child,White,1,0,0,40,United-States
37,Private,298539,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,1902,55,United-States
22,Private,236907,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,20,United-States
42,Self-emp-inc,96509,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,0,0,60,Taiwan
37,Private,295127,9,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,40,United-States
30,Private,496414,16,Never-married,Prof-specialty,Not-in-family,White,1,0,0,40,
19,Private,126501,7,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,0,0,0,15,South
61,Self-emp-not-inc,133969,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,1,0,0,63,South
40,Federal-gov,280167,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
36,Private,107302,9,Married-civ-spouse,Tech-support,Husband,White,1,0,0,50,United-States
24,Private,214542,10,Never-married,Craft-repair,Own-child,White,1,0,0,60,Canada
35,Private,168675,9,Separated,Transport-moving,Own-child,White,1,0,0,50,United-States
41,State-gov,363591,11,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
58,Self-emp-inc,78104,10,Married-civ-spouse,Exec-managerial,Husband,White,1,7298,0,60,United-States
36,Private,460437,5,Divorced,Sales,Not-in-family,White,0,0,0,40,United-States
23,Private,312017,10,Never-married,Exec-managerial,Not-in-family,White,1,0,0,40,United-States
27,Private,236481,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,1,0,0,10,India
21,Private,225890,10,Never-married,Other-service,Other-relative,White,0,0,0,30,United-States
39,Private,279272,12,Never-married,Transport-moving,Not-in-family,Black,1,0,0,60,United-States
42,Private,231813,7,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
52,Private,286342,9,Divorced,Machine-op-inspct,Not-in-family,White,0,0,0,38,United-States
42,Self-emp-not-inc,201520,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,45,United-States
27,Private,85126,9,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,40,United-States
23,Private,440456,13,Never-married,Other-service,Not-in-family,White,1,0,0,40,United-States
23,Private,205939,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,38,United-States
44,Private,155930,14,Married-civ-spouse,Prof-specialty,Husband,White,1,7688,0,55,United-States
49,Private,182211,5,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,45,United-States
36,Private,209609,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,38,United-States
43,Private,160815,11,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,United-States
39,Self-emp-inc,163237,10,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,65,United-States
23,Private,206861,10,Never-married,Tech-support,Own-child,White,1,0,0,25,United-States
31,Private,111567,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,70,United-States
25,Private,134821,9,Never-married,Adm-clerical,Own-child,White,0,0,0,40,United-States
27,,190650,13,Never-married,,Unmarried,Asian-Pac-Islander,1,0,0,25,Philippines
36,Private,141420,13,Divorced,Handlers-cleaners,Not-in-family,White,1,0,0,30,United-States
56,Private,392160,9,Widowed,Sales,Unmarried,White,0,0,0,25,Mexico
29,Private,104256,9,Divorced,Sales,Not-in-family,White,0,0,0,34,United-States
21,Private,52753,9,Never-married,Craft-repair,Not-in-family,White,1,0,1504,40,United-States
21,Private,132053,10,Never-married,Adm-clerical,Own-child,White,0,0,1721,35,United-States
46,Private,42972,14,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,22,United-States
27,Private,160731,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
46,Private,269045,15,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,40,United-States
47,Private,168262,13,Never-married,Adm-clerical,Own-child,White,1,0,0,40,United-States
28,Private,30912,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States
66,,107744,10,Married-civ-spouse,,Husband,White,1,0,0,40,United-States
22,Private,110371,9,Married-civ-spouse,Other-service,Own-child,White,1,0,0,50,United-States
30,Private,75167,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,55,United-States
58,Self-emp-not-inc,274917,14,Widowed,Other-service,Not-in-family,White,0,0,0,15,United-States
59,Private,380357,13,Divorced,Exec-managerial,Not-in-family,White,1,0,0,40,United-States
22,Self-emp-not-inc,279802,10,Never-married,Prof-specialty,Own-child,White,0,0,0,3,United-States
52,Private,181901,9,Married-spouse-absent,Farming-fishing,Other-relative,White,1,0,0,20,Mexico
33,Private,117983,6,Divorced,Other-service,Unmarried,White,0,0,0,45,United-States
29,Local-gov,376302,11,Married-civ-spouse,Tech-support,Wife,White,0,0,0,35,Nicaragua
21,Private,129232,10,Never-married,Craft-repair,Own-child,White,1,0,0,40,United-States
49,,202874,9,Separated,,Unmarried,White,0,0,0,40,Columbia
31,Private,381153,6,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,United-States
41,Private,185145,9,Married-civ-spouse,Tech-support,Husband,White,1,0,0,45,
46,Private,45363,15,Divorced,Prof-specialty,Not-in-family,White,1,0,2824,40,United-States
52,Private,185407,11,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,48,Poland
28,Local-gov,211920,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States
49,Self-emp-not-inc,219718,13,Married-civ-spouse,Sales,Husband,White,1,15024,0,40,United-States
36,Private,29814,9,Never-married,Transport-moving,Other-relative,White,1,0,0,50,United-States
37,State-gov,482927,10,Divorced,Other-service,Not-in-family,White,1,0,0,65,United-States
27,Private,219371,9,Never-married,Other-service,Not-in-family,White,0,0,0,35,United-States
44,Private,159911,4,Married-civ-spouse,Other-service,Wife,White,0,0,0,55,United-States
59,,424468,13,Married-civ-spouse,,Husband,White,1,0,0,40,United-States
26,Self-emp-inc,366662,9,Never-married,Sales,Own-child,White,1,0,0,50,United-States
26,Private,391349,13,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,United-States
26,Private,183965,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,United-States
31,Self-emp-not-inc,340939,13,Never-married,Tech-support,Not-in-family,White,1,0,0,40,United-States
32,Local-gov,223267,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,48,United-States
52,Private,347519,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,55,United-States
52,Private,145271,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,1,0,0,40,United-States
33,State-gov,79440,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,1,0,0,30,Japan
20,Private,164922,9,Never-married,Craft-repair,Own-child,White,1,0,0,40,United-States
28,Private,210945,12,Married-civ-spouse,Adm-clerical,Wife,Black,0,0,0,35,Haiti
22,Private,244773,9,Never-married,Sales,Own-child,Black,0,0,0,15,United-States
58,Private,131608,10,Widowed,Craft-repair,Not-in-family,White,1,0,0,40,United-States
