,income
9605,0
16650,1
26339,1
2251,0
15685,1
29996,0
23166,1
1492,1
10252,1
5935,1
28015,0
17458,0
2962,1
22780,0
10888,1
8247,1
13255,1
8757,0
10174,1
1962,1
2430,1
17918,0
25745,1
23147,0
6427,1
20577,0
3608,0
20127,1
31919,0
27933,1
10788,0
12929,1
6451,1
29546,1
17793,0
24245,1
22389,0
17594,0
6875,0
12982,1
21077,1
20569,1
5975,1
18592,0
18557,0
10670,1
29959,0
30115,0
23026,1
14117,0
5302,0
29358,0
9289,0
10934,1
19709,0
10991,1
26413,0
3774,1
13505,1
20351,0
6847,1
10246,0
25363,1
31894,0
26478,1
29107,1
14029,0
31281,0
12242,1
5726,1
23268,0
12475,1
21803,0
19430,0
7769,0
31210,1
19173,1
17724,0
11004,1
11095,1
26414,0
5980,0
19712,0
7731,1
12282,1
13027,0
14124,0
32336,0
5416,1
3144,1
23297,1
27517,0
16820,0
10524,0
23574,1
3129,1
9128,1
31876,1
17749,1
25436,0
31705,1
17313,0
22850,0
13553,1
7065,0
4346,0
23554,1
29483,1
31284,1
19447,0
361,1
19682,1
30867,0
5528,1
20260,0
31303,0
7982,1
29891,0
29539,1
909,0
14366,1
10133,1
4481,0
27638,1
17820,0
29104,1
563,0
26460,1
29075,0
30986,1
30767,1
18524,1
4526,0
31140,1
10587,1
14615,0
19767,0
30459,0
13642,0
29956,1
26018,1
5020,0
13244,1
4565,0
3056,1
6657,0
10820,0
1603,1
24806,0
16631,1
26106,1
2252,1
31048,1
3980,1
13863,0
10731,0
14309,1
1493,1
29182,0
24194,1
73,0
1008,1
24332,0
11479,0
21727,0
14604,1
2271,0
30719,1
724,1
2560,1
1933,1
5753,1
29776,0
29145,0
8400,1
29368,0
17431,1
30610,0
5939,1
1159,0
11014,1
14445,0
6450,0
29123,0
25342,0
13439,1
10507,1
31386,0
21429,0
31946,1
20983,1
9713,0
27549,0
26082,1
21442,0
4800,0
31499,0
9922,0
11192,1
28922,0
15365,0
6557,0
11750,1
28009,0
29246,0
23545,0
25335,0
26200,0
27950,1
30263,1
4903,0
20143,1
6553,1
22900,0
15337,1
17498,0
8347,0
28976,1
23537,1
1210,1
6103,1
8697,1
609,0
23234,1
15040,0
15994,1
21167,0
1466,0
26371,0
12797,0
4662,0
22188,0
11108,1
6819,0
14482,1
18641,0
30789,0
1972,1
23980,1
14712,1
24542,0
13137,0
14481,0
30957,1
31142,1
17610,0
20630,1
803,0
1694,0
3617,0
20657,0
6525,0
21915,1
1547,0
18542,0
25629,0
1235,0
16169,0
32060,0
32352,1
13717,1
19443,0
13201,1
18401,1
12588,0
3299,0
21690,1
31248,0
3982,0
135,1
8317,0
27593,1
2153,1
22191,0
20268,1
16690,0
26748,1
16790,1
29256,0
22169,1
4540,1
32519,0
9065,0
15115,1
32024,0
17323,1
5002,0
8849,0
15354,0
29121,0
26076,0
26818,0
618,0
14834,1
7730,1
18528,1
23174,0
27768,0
822,0
9345,1
7081,1
22953,1
6226,0
6004,0
6418,1
17902,0
13010,0
15363,1
31950,1
9162,0
20848,0
30703,1
17596,0
17995,0
24011,1
24499,1
18665,1
24171,1
31292,0
12576,0
15663,1
23925,0
4873,1
4246,1
17707,1
3652,1
28330,1
10038,1
24826,0
3262,1
10283,1
25707,1
13609,0
27050,1
26479,0
1457,0
11570,0
26735,1
15012,0
19401,1
13988,0
4031,1
927,1
20887,0
29598,1
4517,0
18080,1
14977,0
6225,1
8913,0
17280,1
26603,1
24190,0
1645,1
8616,1
2883,1
14533,0
11144,1
27867,0
12101,0
19347,1
19016,1
12062,1
13573,0
13266,0
6001,0
18622,0
1013,1
16162,1
12760,0
27193,1
27524,0
13367,0
18199,1
22296,1
16506,0
11714,1
19063,1
16012,1
27316,0
20009,0
27408,0
3730,0
1772,1
17072,1
27115,1
10484,1
27369,1
32492,0
24232,1
3027,1
27710,1
10925,0
11240,0
20570,1
26007,1
19495,1
30553,0
6883,0
23280,1
2637,1
27083,1
26731,1
2110,1
6350,1
29301,1
13471,0
288,0
26488,1
19071,1
18926,1
20559,1
26127,0
2627,0
29240,1
22695,1
11915,1
11123,1
27676,0
14499,0
15613,1
13494,1
14619,1
20975,1
29272,0
3174,0
28865,0
3697,0
6482,1
1351,1
31859,1
27310,0
24969,0
24267,1
24796,0
15016,0
20396,0
32020,0
23492,0
19630,0
6749,1
27127,0
22826,0
20990,0
2998,0
1937,0
28700,0
16662,1
29667,1
11385,0
11180,1
14967,0
18889,1
4468,0
7584,0
26036,0
16896,0
30862,1
9197,1
11007,1
28004,0
19840,1
412,0
1682,1
29564,1
20070,1
11336,0
20897,1
9276,1
11511,1
26950,1
20877,0
14077,1
31547,0
25823,1
20693,1
14557,1
3539,1
6802,1
29614,1
8762,0
8478,1
18427,0
17958,1
30383,1
1722,1
22484,0
2160,1
11671,0
17319,0
30193,0
7,1
3268,1
31185,1
287,0
24059,0
13916,1
1738,1
713,0
31512,1
13888,0
7064,0
5213,0
15771,1
32278,0
7751,0
24021,1
13819,0
12663,0
11839,0
31250,1
31244,1
23366,1
10503,0
24286,0
22990,1
27582,0
13631,0
30499,0
26909,1
29495,0
11780,1
23270,1
15708,0
9193,0
796,0
27963,1
19044,0
27533,1
29970,0
27035,1
6747,0
9685,1
2488,0
32515,1
16186,0
15369,1
7083,1
29148,1
10766,1
13273,0
14975,0
10422,0
27401,1
5320,0
18317,0
20079,1
7813,0
27793,0
26659,0
500,0
29952,0
8391,1
21748,0
15567,0
26469,0
4110,0
23025,1
16003,0
32486,1
18399,0
28502,0
31338,0
21903,0
29691,0
2287,1
18142,1
23497,0
31160,1
16677,1
20996,1
19458,0
9992,1
31694,0
6349,0
30713,1
1572,0
6656,1
29364,0
25296,1
4327,1
27747,0
3932,1
23205,0
10134,1
27631,0
4374,1
20952,0
17035,1
374,0
22448,1
11088,1
399,1
20987,1
15140,1
2921,0
1098,1
26377,0
15915,1
12740,0
28121,0
12814,1
16615,1
31601,1
24469,0
17412,0
13318,0
23160,0
3602,1
28524,1
16081,0
28564,0
2929,0
30130,0
31806,1
22276,1
31385,0
15325,1
29361,0
21815,1
26379,1
4817,0
16720,0
3945,1
30285,1
11548,0
27062,1
5694,1
20726,1
23655,0
12368,0
2612,0
25439,0
7642,0
5651,0
23887,0
25212,0
20537,1
23295,1
22938,1
19796,1
5149,0
16375,0
1619,0
20151,1
2667,0
17835,1
13641,0
9091,1
30045,1
23830,1
21051,0
17027,0
24276,0
19857,1
20591,1
11145,0
5201,0
19320,0
7247,1
15869,1
10705,1
32233,1
3827,0
14770,0
4799,0
16494,1
29523,1
2958,0
19844,0
24724,0
30343,0
7102,1
5582,1
6570,0
25538,1
21470,0
4002,0
1538,0
25736,1
3995,0
24922,1
26079,0
1666,1
479,0
15916,0
19486,0
10022,0
1498,1
21934,0
22923,0
16424,1
25591,1
30006,1
20207,1
1316,1
5403,1
29057,1
1420,0
28043,0
168,0
1362,0
6742,0
5013,1
14963,1
5794,1
21181,1
18272,0
30966,0
1399,1
6010,0
18771,0
13831,1
13325,0
21186,0
20959,0
3111,1
3238,0
5043,1
30022,1
13340,1
31707,1
7706,0
26077,1
12153,1
12375,0
12813,1
26858,0
25717,1
12527,1
9500,1
19713,1
22102,0
25675,0
25585,0
30013,1
15064,1
10428,1
27845,1
17744,0
2752,1
15650,0
8221,1
3854,0
3029,0
26153,0
1276,1
27743,0
10216,1
12952,0
24216,0
30881,0
23724,0
22245,1
828,0
2848,1
26164,1
18672,1
20911,0
16204,0
19783,0
12257,1
18327,0
7677,1
5747,0
8992,1
25784,1
27068,0
30206,1
32509,1
19010,0
4486,1
25993,0
18002,1
25303,0
23103,0
26642,0
1354,0
13184,1
27536,1
5946,1
10607,0
28014,0
25566,1
22319,1
2589,1
18734,0
13287,1
30756,0
16670,0
3599,1
1780,1
31245,1
27318,0
27395,0
12200,1
13061,1
4319,0
32529,0
23842,1
25032,0
7039,0
6481,1
31363,0
182,0
14280,1
9564,1
16598,1
12804,0
23993,1
8397,0
10106,0
12537,0
21882,1
27363,0
29439,1
9627,0
30479,0
9505,0
28366,0
31809,1
2492,0
6598,0
19428,1
24016,1
7215,0
8270,0
17478,1
747,0
15966,0
3164,1
19004,0
10862,0
22212,0
18969,0
3927,1
29601,1
15094,1
17858,0
23686,1
4393,0
14725,0
21008,0
18252,0
18255,1
23837,1
8503,1
12879,0
12607,0
16016,0
6045,0
11190,1
27456,0
14646,0
28542,1
13677,1
958,1
8278,0
17150,0
20118,1
25280,0
6114,1
24751,0
5264,0
1532,1
20653,1
22577,1
8493,0
24399,0
534,1
3651,1
4301,0
4460,0
30282,1
24895,0
6658,1
1723,1
25143,1
27388,0
13930,0
22478,0
25994,1
28648,0
22485,0
18931,0
591,0
324,0
4177,1
3654,1
32536,1
13422,1
25734,1
12522,1
31724,0
16829,0
18258,1
32141,1
14439,0
29687,1
2724,1
28082,1
21453,0
14637,0
8515,0
20350,0
4692,1
8021,1
9103,1
27823,1
9415,1
1172,1
18122,1
11303,0
15117,0
4267,1
6902,1
12632,0
4939,1
1117,0
30171,1
17780,1
27283,1
2331,0
26946,1
14179,1
24999,0
29551,0
26759,0
16476,1
5153,1
18426,1
22048,0
13616,0
13824,0
26859,1
30457,0
26595,0
27578,1
24074,1
29761,0
32376,1
2315,0
25696,0
18300,0
28814,1
24328,0
11984,0
25299,0
11390,0
11381,1
20262,0
22920,0
11173,1
14851,1
30915,0
5480,0
5886,0
10164,0
25810,1
29750,1
15122,0
1314,1
25882,0
12729,0
22020,0
24464,0
19283,1
31791,0
25677,0
8196,1
24873,1
31515,0
9811,1
161,0
15878,0
6874,1
32214,0
14338,0
8798,1
22724,0
4474,1
8555,0
31005,0
9041,0
10987,0
10558,0
21719,0
10136,0
25609,0
25562,0
18903,0
9870,1
3660,0
20842,0
20988,0
11948,1
28817,0
3230,1
19968,0
21288,0
12500,1
20797,1
18163,0
454,1
20875,1
12473,1
6826,0
13192,1
27911,1
2429,0
17782,1
5680,1
19134,1
16500,0
7589,1
13440,0
9395,0
22392,0
2711,0
20353,1
18007,1
28345,1
8596,0
21014,1
26383,1
16483,1
8440,1
25729,0
12334,1
27308,0
18157,0
21204,1
16263,1
26152,1
27522,0
25589,1
24357,0
3933,0
20194,0
13756,0
25344,1
9339,1
4609,0
13704,0
26096,0
3763,1
28032,0
6003,1
28255,0
2215,1
27103,1
13194,1
7439,1
23609,0
8264,1
5573,0
31382,0
5195,0
7357,1
27720,0
20910,0
6522,1
29251,0
1358,0
16596,0
9621,0
2836,0
526,1
2985,0
19381,0
16164,1
13461,1
15643,0
5591,1
30994,1
22100,0
7891,1
8117,1
22871,0
22756,0
23286,1
17685,1
21256,0
8977,1
21240,1
25094,0
23120,0
16231,0
29134,1
3867,1
24832,1
25366,1
16517,1
27022,1
14435,1
23265,1
6957,0
15738,1
16073,1
30720,0
16170,1
1783,1
16120,1
16202,0
24057,1
7717,0
27942,0
4768,1
19672,0
4284,0
28519,1
26473,1
28302,1
7334,1
5042,0
6490,1
11609,1
29276,0
11409,0
3978,0
4479,1
16750,0
10733,1
7032,1
32412,1
1652,0
19498,1
12503,0
19452,0
14007,1
31741,1
9738,1
16400,0
30914,1
7483,1
19445,1
2944,0
3273,1
9555,1
22709,0
12439,0
4643,0
18436,1
12578,0
12209,0
20525,0
23247,1
16823,1
2808,0
28500,0
10576,1
27977,1
25586,1
32050,0
17886,0
18465,0
1310,0
25096,0
13668,0
14192,1
7282,0
30929,1
4734,0
10724,1
28212,1
2649,0
29675,1
6567,1
25291,1
139,1
14206,0
7263,1
24132,1
21471,1
3597,0
17279,1
831,1
16462,1
8996,0
740,0
20035,0
21299,0
4493,0
12498,0
1979,0
26198,0
27166,0
25384,1
19858,0
9488,1
9346,0
10783,1
26249,0
9927,1
9390,1
22546,0
1294,0
21571,1
20373,1
21021,0
10654,1
5865,1
1137,1
28513,0
12011,1
6545,1
27411,1
20808,1
12650,0
19399,0
2890,0
4988,0
18929,1
13326,1
20430,0
12694,0
26329,1
16258,1
32115,1
5969,0
18280,1
86,1
414,0
12963,0
3047,0
30575,1
6248,1
24092,1
7967,0
1893,1
8194,0
14826,0
14398,1
2615,0
13825,1
22267,1
13538,1
11999,0
17590,1
29037,1
24486,0
28134,0
12084,0
16914,1
31020,1
15109,0
17366,0
9596,1
7514,0
11429,0
16168,1
4549,1
7303,1
20716,1
25122,1
7987,1
18601,0
3323,0
14210,0
2624,1
3991,0
13171,1
11810,1
27328,0
11457,0
691,0
29814,0
2954,0
21472,1
26507,1
4400,0
10206,0
3127,0
20384,1
8206,1
26445,0
3381,1
27736,1
24360,0
23971,1
1678,0
32058,1
12572,0
3081,0
198,1
4772,1
28780,1
21347,1
11794,1
2489,0
23737,1
19558,1
3079,1
16669,0
24285,1
2502,0
1166,1
22973,0
21508,0
14465,1
28249,1
19893,0
1476,0
12307,1
18175,0
24506,0
12373,0
14944,1
21333,0
20479,1
22379,0
21364,1
16292,0
29579,0
30237,1
4380,1
6082,1
9042,0
28518,1
8812,1
13089,0
17735,0
17493,1
24334,0
23116,1
31395,1
20552,0
20203,1
19267,0
3653,0
13125,1
2332,1
29702,1
11588,0
22627,0
23998,0
29656,0
19037,0
22848,0
9,1
29649,0
19749,0
31349,0
626,1
29124,1
21263,0
652,1
26026,0
24110,1
29867,0
30308,1
14315,1
8149,1
29801,0
13850,1
12253,0
2023,0
13656,1
3758,1
10657,0
23230,0
1460,1
4077,0
10223,0
31125,0
22433,1
21900,1
27215,1
8558,0
9145,0
22935,0
15180,1
6030,1
16501,0
17892,0
24261,0
23336,0
10751,1
26011,1
1388,0
30953,1
26797,0
31885,1
1654,1
13401,1
22055,0
19755,0
18754,1
19358,1
6,0
23556,1
10362,1
30885,0
8437,0
30781,1
25885,0
8784,0
18858,0
26438,0
17647,1
8157,0
17125,0
2840,1
3714,1
32095,0
4519,0
9782,1
20055,0
5208,0
25412,0
4656,1
28408,0
16986,0
12706,0
7501,1
21847,0
30991,1
23528,1
21024,1
